year_month,variable,value
2021-10,qigong,3.9777777777777885
2020-03,quidditch,11.466666666666676
2020-04,quidditch,6.866666666666674
2020-05,quidditch,30.866666666666674
2020-06,quidditch,9.666666666666679
2020-07,quidditch,18.266666666666666
2020-08,quidditch,8.466666666666661
2020-09,quidditch,30.866666666666674
2020-10,quidditch,29.866666666666667
2020-11,quidditch,20.666666666666657
2020-12,quidditch,23.86666666666666
2021-01,quidditch,15.311111111111117
2021-02,quidditch,12.977777777777767
2021-03,quidditch,7.2222222222222285
2021-04,quidditch,-14.37777777777778
2021-05,quidditch,1.6222222222222271
2021-06,quidditch,11.422222222222231
2021-07,quidditch,1.0222222222222257
2021-08,quidditch,-3.7777777777777857
2021-09,quidditch,-6.377777777777773
2021-10,quidditch,-14.37777777777778
2020-03,quilling,10.444444444444443
2020-04,quilling,24.044444444444444
2020-05,quilling,30.84444444444444
2020-06,quilling,24.84444444444445
2020-07,quilling,18.64444444444446
2020-08,quilling,21.244444444444454
2020-09,quilling,13.244444444444454
2020-10,quilling,3.2444444444444542
2020-11,quilling,-0.9555555555555486
2020-12,quilling,10.044444444444451
2021-01,quilling,0.6851851851851904
2021-02,quilling,14.685185185185212
2021-03,quilling,6.259259259259252
2021-04,quilling,1.859259259259261
2021-05,quilling,16.659259259259258
2021-06,quilling,5.659259259259265
2021-07,quilling,7.459259259259277
2021-08,quilling,6.059259259259278
2021-09,quilling,12.059259259259274
2021-10,quilling,25.059259259259278
2020-03,quilting,7.0222222222222115
2020-04,quilting,35.02222222222221
2020-05,quilting,28.622222222222206
2020-06,quilting,13.022222222222219
2020-07,quilting,15.822222222222223
2020-08,quilting,8.422222222222217
2020-09,quilting,5.822222222222223
2020-10,quilting,11.022222222222226
2020-11,quilting,6.422222222222217
2020-12,quilting,14.022222222222226
2021-01,quilting,11.092592592592595
2021-02,quilting,11.092592592592595
2021-03,quilting,2.762962962962959
2021-04,quilting,1.762962962962959
2021-05,quilting,2.3629629629629534
2021-06,quilting,3.762962962962959
2021-07,quilting,1.5629629629629633
2021-08,quilting,-0.8370370370370352
2021-09,quilting,4.562962962962963
2021-10,quilting,6.762962962962966
2020-03,quizzes,-9.288888888888906
2020-04,quizzes,-16.28888888888889
